"Year","Month","DateTime","ET","GPP","Tr","T_ET"
2011,1,2011-01-16 11:45:00,15.5829468520525,-30.810173122526,-15.5490751918713,NA
2011,2,2011-02-14 23:45:00,61.7283843349474,-12.4545826204937,-6.28549670523736,NA
2011,3,2011-03-16 12:15:00,78.4934082252788,14.5023067969657,7.31892865206716,0.0932425896332795
2011,4,2011-04-15 23:45:00,186.014576853571,17.4992522153256,8.8314073217161,0.0474769637471374
2011,5,2011-05-16 11:45:00,172.635690728192,33.4568363289961,16.8847757425077,0.0978058226041577
2011,6,2011-06-15 23:45:00,167.580478881398,45.5419766520341,22.9838247429772,0.137150967083962
2011,7,2011-07-16 11:45:00,169.429457644587,41.6808468809011,21.0352152074785,0.124153234625848
2011,8,2011-08-16 11:45:00,143.265520271674,75.2439878005589,37.9736400504592,0.265057775090963
2011,9,2011-09-15 23:45:00,146.181717431823,143.449786743998,72.3952933165943,0.495241775705353
2011,10,2011-10-16 11:45:00,83.1086794516769,156.516475204921,78.9897035647832,0.950438679641292
2011,11,2011-11-15 23:34:50,37.4289361873142,45.4359810180106,22.9303315647049,0.612636475959387
2011,12,2011-12-16 11:45:00,27.1146204906949,14.2726223499785,7.20301301853909,0.265650519468306
2012,1,2012-01-16 11:45:00,11.1262835078588,-0.415087536268521,-0.209483643177876,NA
2012,2,2012-02-15 11:45:00,42.0361531419973,5.52774201563075,2.78970442329218,0.0663644081290838
2012,3,2012-03-16 12:15:00,57.3984034398419,34.5735929416308,17.4483731125005,0.303987080943597
2012,4,2012-04-15 23:45:00,113.178812831577,89.2836851264795,45.0591020023833,0.398123119292977
2012,5,2012-05-16 11:45:00,242.26768991951,277.725931204028,140.160893281921,0.578537292069313
2012,6,2012-06-15 23:45:00,326.160064723419,341.735269826303,172.46470459975,0.528773210619757
2012,7,2012-07-16 11:45:00,345.697601188283,392.995147325911,198.334201872545,0.573721660754373
2012,8,2012-08-16 11:45:00,284.769642313059,414.008348314092,208.939005710801,0.733712357868211
2012,9,2012-09-15 23:45:00,199.69178546446,379.863632478711,191.70707547081,0.960014829978721
2012,10,2012-10-16 11:45:00,109.752321839506,248.581909005766,125.452680161788,NA
2012,11,2012-11-15 23:38:50,48.1953643555135,68.5229477657161,34.581709844363,0.717531868610242
2012,12,2012-12-16 11:45:00,26.050402459734,14.3614401082374,7.24783697963951,0.278223608669481
2013,1,2013-01-16 11:45:00,18.4192182371192,13.8815602935183,7.00565439622932,0.380344828213784
2013,2,2013-02-14 23:45:00,34.3204958147708,29.8556572270902,15.0673563981811,0.439019193647442
2013,3,2013-03-16 12:15:00,61.7085935616854,61.5303078673303,31.0527104084531,0.503215332195379
2013,4,2013-04-15 23:45:00,121.589554145654,130.098451428753,65.6572293692404,0.539990707512495
2013,5,2013-05-16 11:45:00,148.668058786112,208.333571810223,105.14041450484,0.707215896698462
2013,6,2013-06-15 23:45:00,175.551319592188,235.207152135777,118.702795978488,0.676171482243702
2013,7,2013-07-16 11:45:00,187.189817615901,272.183014627938,137.363530661428,0.733819458830217
2013,8,2013-08-16 11:45:00,174.621155629886,271.434852930199,136.985953344756,0.784475127601954
2013,9,2013-09-15 23:45:00,140.221086102515,229.334308235267,115.738927809491,0.825403161724729
2013,10,2013-10-16 11:45:00,97.59265757705,182.267376709963,91.9854988875826,0.942545281287779
2013,11,2013-11-15 23:40:50,52.6389164490719,86.1511319246588,43.478185689971,0.825970377487465
2013,12,2013-12-16 11:45:00,24.1622536075724,-0.100670191649106,-0.0508055690991101,NA
2014,1,2014-01-16 11:45:00,16.5258816760024,-9.95982595381201,-5.02645934633025,NA
2014,2,2014-02-14 23:45:00,29.2377114484961,6.08817076466154,3.0725379122087,0.10508818098233
2014,3,2014-03-16 12:15:00,58.0455128913911,33.2170592501051,16.7637666260014,0.288803833250093
2014,4,2014-04-15 23:45:00,97.7948322470471,141.972233312309,71.6496113849164,0.732652326698785
2014,5,2014-05-16 11:45:00,169.046154787962,244.651642904315,123.469179358579,0.730387387476805
2014,6,2014-06-15 23:45:00,195.647307736099,265.723321957467,134.103495521408,0.685434913841466
2014,7,2014-07-16 11:45:00,171.895653431899,216.563192983203,109.293685501092,0.635814130951201
2014,8,2014-08-16 11:45:00,142.282356807284,157.399604232451,79.4353953042802,0.558294064610361
2014,9,2014-09-15 23:45:00,113.451228183294,101.602156479564,51.2759069698952,0.451964317980348
2014,10,2014-10-16 11:45:00,63.2214768110147,59.2034699600462,29.8784171827781,0.4725991655034
2014,11,2014-11-15 23:42:50,26.3591614426332,24.6286094646495,12.4294043695938,0.47154020421494
2014,12,2014-12-16 11:45:00,23.7308602744572,-2.24086916101423,-1.13090708517574,NA
2015,1,2015-01-16 11:45:00,15.2140558554782,-28.767147585334,-14.5180145233583,NA
2015,2,2015-02-14 23:45:00,25.1446164472545,13.4853619078131,6.80570360511468,0.270662454501579
2015,3,2015-03-16 12:15:00,58.2994111514264,32.6238329102423,16.4643810650166,0.282410760929509
2015,4,2015-04-15 23:45:00,107.94046598746,91.1161367120412,45.9838915962636,0.426011609043876
2015,5,2015-05-16 11:45:00,117.653841630607,148.456679762309,74.9221390993093,0.636801468281326
2015,6,2015-06-15 23:45:00,157.717345594451,200.846229407866,101.361751868361,0.642679798384378
2015,7,2015-07-16 11:45:00,169.885969469335,225.872136863674,113.991661970706,0.670989266075217
2015,8,2015-08-16 11:45:00,154.35354521109,205.048911727686,103.482733893959,0.67042667372776
2015,9,2015-09-15 23:45:00,120.804115072297,168.853490253472,85.2158670423557,0.70540533318221
