"Year","Month","DateTime","ET","GPP","Tr","T_ET"
2016,5,2016-05-20 19:15:00,111.027182719158,216.959607120922,84.9403209715306,0.765040766515587
2016,6,2016-06-15 23:45:00,130.944061601561,229.671975521699,89.9172503944736,0.686684445974156
2016,7,2016-07-16 11:45:00,125.956578900441,270.116916053526,105.751562947101,0.839587450455362
2016,8,2016-08-16 11:45:00,102.929461175112,270.358153366259,105.846008060851,NA
2016,9,2016-09-15 23:45:00,86.8202390531834,202.118298101383,79.1299050674553,0.911422335741125
2016,10,2016-10-16 11:45:00,49.1812261139268,97.1253082489176,38.0248423501424,0.773157673256437
2016,11,2016-11-15 23:34:50,26.3402979489651,14.8140051230601,5.79972634871757,0.220184538533113
2016,12,2016-12-16 11:45:00,25.157882985208,8.17652050941424,3.20113170242265,0.127241696143702
2017,1,2017-01-16 11:45:00,23.6380851961687,12.1042384134196,4.73884475361701,0.200474984089875
2017,2,2017-02-14 23:45:00,47.2574508093981,17.4080134285476,6.81528818990451,0.144216162174984
2017,3,2017-03-16 12:15:00,79.7112998735203,14.1842718548998,5.55318393174969,0.0696662071821819
2017,4,2017-04-15 23:45:00,112.815197808678,31.7340106481134,12.4239580165832,0.110126634158395
2017,5,2017-05-16 11:45:00,155.922962112788,39.539230620958,15.4797244725821,0.0992780297579565
2017,6,2017-06-15 23:45:00,175.821125281981,26.9503007906474,10.5511216111348,0.0600105453438146
2017,7,2017-07-16 11:45:00,168.663370845103,20.6441706466071,8.08225320917241,0.047919433654596
2017,8,2017-08-16 11:45:00,146.300796733236,15.8522580378573,6.20620540259668,0.0424208585405931
2017,9,2017-09-15 23:45:00,114.239863891403,34.5135827784075,13.5121686381073,0.118278928018963
2017,10,2017-10-16 11:45:00,79.3832627896476,35.1625873235232,13.7662558163874,0.173415091955413
2017,11,2017-11-15 23:36:50,32.7128378010307,5.30667309512147,2.0775780430842,0.0635095633011312
2017,12,2017-12-16 11:45:00,32.0823061971678,5.34093529500805,2.09099179458466,0.0651758568020042
2018,1,2018-01-16 11:45:00,22.273638255414,0.659471279236509,0.258184935312104,0.011591502580381
2018,2,2018-02-14 23:45:00,58.0884330693004,20.6780824036897,8.09552976128976,0.139365607463222
2018,3,2018-03-16 12:15:00,70.915109167629,19.6895895017393,7.70853189802876,0.108700839475652
2018,4,2018-04-15 23:45:00,116.459852161821,43.7413684828759,17.1248737402013,0.147045298635673
2018,5,2018-05-16 11:45:00,152.945219909552,49.7387374250764,19.4728612282652,0.127319188136648
2018,6,2018-06-15 23:45:00,191.200592780777,74.7608809385923,29.2691036239714,0.153080611300877
2018,7,2018-07-16 11:45:00,202.482244173715,117.289208685759,45.9190683670095,0.226780716276605
2018,8,2018-08-16 11:45:00,155.275833541361,85.5664011444824,33.4994963995313,0.215741855223131
2018,9,2018-09-15 23:45:00,124.891257910466,72.384290800047,28.3386616312677,0.226906687508773
2018,10,2018-10-16 11:45:00,72.7881751070081,72.8525201441603,28.5219747894405,0.391849015963232
2018,11,2018-11-15 23:38:50,41.1368931539058,39.9258145269225,15.6310732028402,0.379976998855008
2018,12,2018-12-16 11:45:00,29.1140848562183,21.4084251966385,8.38146110157716,0.287883378198886
2019,1,2019-01-16 11:45:00,28.7016271470833,16.5122526880838,6.46459523918265,0.225234451205655
2019,2,2019-02-14 23:45:00,48.1610602883447,8.79080991356837,3.44162780144619,0.0714607980148453
2019,3,2019-03-16 12:15:00,75.1193133684934,24.0222279897207,9.40477254257247,0.125197796955863
2019,4,2019-04-15 23:45:00,121.615672519327,74.7069941583523,29.2480067918447,0.240495375192673
2019,5,2019-05-16 11:45:00,136.361116120316,82.2145665871761,32.1872433634978,0.236044147182676
2019,6,2019-06-15 23:45:00,189.885144006933,112.465192017869,44.03045172735,0.231879391922005
2019,7,2019-07-16 11:45:00,173.880768996908,97.2655152534624,38.0797338026414,0.218999110840824
2019,8,2019-08-16 11:45:00,155.129320257899,84.9857625152553,33.2721746773476,0.214480245398056
2019,9,2019-09-15 23:45:00,126.917387711183,116.520882383782,45.6182663718049,0.359432755389003
2019,10,2019-10-16 11:45:00,89.897248705808,109.267457657117,42.778529369136,0.475860273645641
2019,11,2019-11-15 23:40:52,51.4058489443816,65.6709504639233,25.7103692476829,0.500144823510262
2019,12,2019-12-16 11:45:00,27.6688831139359,21.818599456793,8.54204552452168,0.308723900756924
2020,1,2020-01-16 11:45:00,22.0427834021339,4.1542004589756,1.62638163411128,0.0737829521998496
2020,2,2020-02-15 11:45:00,60.7917286001063,14.7044815352014,5.7568475436251,0.0946978754543103
2020,3,2020-03-16 12:15:00,69.4991988239012,36.6982683200148,14.3674794196325,0.206728705693964
2020,4,2020-04-15 23:45:00,127.410613979517,88.5355283516527,34.6619183882556,0.272048907902037
2020,5,2020-05-16 11:45:00,170.297389809096,146.575508274943,57.3847403424722,0.336967820862086
2020,6,2020-06-15 23:45:00,203.429993419186,159.387542498809,62.4006892267585,0.306742816916758
2020,7,2020-07-16 11:45:00,174.616365717205,116.00214615816,45.4151796217479,0.26008547042663
2020,8,2020-08-16 11:45:00,102.827042329589,66.3458772791426,25.9746050705523,0.252604805915711
2020,9,2020-09-15 23:45:00,61.1544580553863,77.7805754554611,30.4513228623933,0.497941177645858
2020,10,2020-10-16 11:45:00,51.9396417516837,67.4469080948337,26.4056618563079,0.508391297393805
2020,11,2020-11-15 23:44:52,39.0135730326714,18.6950248767786,7.31915693744443,0.187605399057275
2020,12,2020-12-16 11:45:00,19.0950495383577,7.64096134422039,2.99145872230218,0.156661480049738
