"Year","Month","DateTime","ET","GPP","Tr","T_ET"
2011,3,2011-03-29 11:45:00,34.4461258037826,56.2525330849862,24.1941024358283,0.702375140056287
2011,4,2011-04-15 23:45:00,37.3167954618806,63.6048906358058,27.3563367739801,0.733083761222873
2011,5,2011-05-16 11:45:00,64.7248514032005,163.581170999284,70.3559358251502,NA
2011,6,2011-06-15 23:45:00,103.489832487399,264.384415292496,113.711210415348,NA
2011,7,2011-07-16 11:45:00,153.196353623173,333.96924695205,143.639507912772,0.937617015781532
2011,8,2011-08-16 11:45:00,142.344534364863,317.644724349329,136.618363256592,0.959772455375115
2011,9,2011-09-15 23:45:00,116.382248852869,254.490567648625,109.455886250326,0.940486090698419
2011,10,2011-10-16 11:45:00,66.5382148253753,143.575824708861,61.7516762323692,0.928063315110452
2011,11,2011-11-15 23:34:50,31.0537663746136,51.3024142441783,22.0650661820636,0.710543961588561
2011,12,2011-12-16 11:45:00,13.3075983653323,43.6963454851224,18.7937111585924,NA
2012,1,2012-01-16 11:45:00,15.2535912124592,11.0715887281992,4.76186825956299,0.312180141268863
2012,2,2012-02-15 11:45:00,20.3700929164649,16.1186137109763,6.93258365197055,0.340331469296687
2012,3,2012-03-16 12:15:00,26.4683052015977,41.1847159107637,17.7134642813347,0.669233037265473
2012,4,2012-04-15 23:45:00,48.9210179431373,52.9862747976762,22.7892912522028,0.465838451658786
2012,5,2012-05-16 11:45:00,69.7791204004645,112.667873389906,48.4582279326697,0.694451687762277
2012,6,2012-06-15 23:45:00,203.716343030575,366.782421773626,157.752389046116,0.774372770978123
2012,7,2012-07-16 11:45:00,210.596941603475,384.481384250165,165.36467755441,0.785218798978427
2012,8,2012-08-16 11:45:00,225.744032441538,386.459364647882,166.215402983719,0.736300318489104
2012,9,2012-09-15 23:45:00,145.884586620308,296.949111868195,127.717221550061,0.875467549443516
2012,10,2012-10-16 11:45:00,81.5377919847726,184.606220714747,79.3987678299911,0.973766469477356
2012,11,2012-11-15 23:38:50,40.3730774110111,60.6902882274025,26.1027720834428,0.646539073990027
2012,12,2012-12-16 11:45:00,24.7816845498502,0.108715619347971,0.0467583713413492,0.00188681165912233
2013,1,2013-01-16 11:45:00,17.5075258887233,-0.403726406988235,-0.17364192350174,NA
2013,2,2013-02-14 23:45:00,15.478218588878,11.8068225067966,5.0780908432961,0.328079798985719
2013,3,2013-03-16 12:15:00,19.9098864891352,18.301519858523,7.87144723810904,0.395353697390716
2013,4,2013-04-15 23:45:00,49.9089425319225,66.7423924623562,28.7057700602905,0.57516285867868
2013,5,2013-05-16 11:45:00,91.4160357063726,167.89636329495,72.2118914364984,0.78992586889725
2013,6,2013-06-15 23:45:00,153.8084285133,291.050408029726,125.180200778198,0.813870878131844
2013,7,2013-07-16 11:45:00,201.384018200608,417.135176237225,179.409008448089,0.890880071075806
2013,8,2013-08-16 11:45:00,183.032969660913,409.861380248393,176.280563281269,0.963108250977111
2013,9,2013-09-15 23:45:00,151.404754293483,298.973454882202,128.587887448291,0.849298874717211
2013,10,2013-10-16 11:45:00,91.186038314089,199.243276008267,85.6941361575879,0.939772554460757
2013,11,2013-11-15 23:40:50,44.7812880341991,81.7217558180222,35.1483644036056,0.784889536378746
2013,12,2013-12-16 11:45:00,23.8921590390267,11.690731732232,5.02816043238593,0.210452325558886
2014,1,2014-01-16 11:45:00,15.242062904398,11.4542844312266,4.92646491918022,0.323215102186642
2014,2,2014-02-14 23:45:00,22.0802178305932,-2.40270658154771,-1.03339931500293,NA
2014,3,2014-03-16 12:15:00,35.2185019190614,-1.88043051154015,-0.808769417564276,NA
2014,4,2014-04-15 23:45:00,57.8648684017783,49.7216228945845,21.38517097123,0.369570890972125
2014,5,2014-05-16 11:45:00,109.593368262224,158.077439758769,67.9887919809588,0.620373231145536
2014,6,2014-06-15 23:45:00,155.304124158606,261.328260776679,112.396764445356,0.723720410222784
2014,7,2014-07-16 11:45:00,167.916469991553,333.576465018503,143.470573185498,0.854416324930575
2014,8,2014-08-16 11:45:00,157.26991498888,325.523256298712,140.00690415553,0.890233228430427
2014,9,2014-09-15 23:45:00,130.967506780615,247.875109899426,106.610591049091,0.814023215908626
2014,10,2014-10-16 11:45:00,83.9825313390798,161.838365767084,69.6063587661074,0.828819489675436
2014,11,2014-11-15 23:42:50,42.8382022440874,78.5047780517109,33.7647486739045,0.788192475527256
2014,12,2014-12-16 11:45:00,21.7410813397614,18.8260161092757,8.09703203086401,0.372430050940275
2015,1,2015-01-16 11:45:00,11.8691754705699,-34.420589912768,-14.8042271624105,NA
2015,2,2015-02-14 23:45:00,16.033582393761,-3.83803091094431,-1.65072945019156,NA
2015,3,2015-03-16 12:15:00,26.820321540727,-5.72264098629152,-2.46129648982438,NA
2015,4,2015-04-15 23:45:00,49.1278684986617,35.697412342655,15.3533859463248,0.312518869951441
2015,5,2015-05-16 11:45:00,70.5767789706167,121.60908958761,52.3038272101517,0.74109116302867
2015,6,2015-06-15 23:45:00,140.075335818311,214.016945475056,92.0482619689988,0.657133973167072
2015,7,2015-07-16 11:45:00,160.943757105988,297.971279164603,128.15685366829,0.796283471771402
